# Movement field manifest
# contract: movement-analysis/v2
# format: <category> <declaringClass> <fieldName> <typeDescriptor>
REF     net.minecraft.client.network.AbstractClientPlayerEntity playerListEntry Lnet/minecraft/client/network/PlayerListEntry
REF     net.minecraft.util.math.Vec3i z I
MOD_REF net.minecraft.util.shape.ArrayVoxelShape xPoints Lit/unimi/dsi/fastutil/doubles/DoubleList
MOD_REF net.minecraft.util.shape.ArrayVoxelShape yPoints Lit/unimi/dsi/fastutil/doubles/DoubleList
MOD_REF net.minecraft.util.shape.ArrayVoxelShape zPoints Lit/unimi/dsi/fastutil/doubles/DoubleList
MOD_REF net.minecraft.util.shape.BitSetVoxelSet maxX I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet maxY I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet maxZ I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet minX I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet minY I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet minZ I
REF     net.minecraft.util.shape.BitSetVoxelSet sizeX I
REF     net.minecraft.util.shape.BitSetVoxelSet sizeY I
REF     net.minecraft.util.shape.BitSetVoxelSet sizeZ I
MOD_REF net.minecraft.util.shape.BitSetVoxelSet storage Ljava/util/BitSet
MOD_REF net.minecraft.util.shape.FractionalPairList firstSectionCount I
MOD_REF net.minecraft.util.shape.FractionalPairList gcd I
MOD_REF net.minecraft.util.shape.FractionalPairList mergedList Lnet/minecraft/util/shape/FractionalDoubleList
MOD_REF net.minecraft.util.shape.IdentityPairList merged Lit/unimi/dsi/fastutil/doubles/DoubleList
MOD_REF net.minecraft.util.shape.SimplePairList maxValues [I
MOD_REF net.minecraft.util.shape.SimplePairList minValues [I
MOD_REF net.minecraft.util.shape.SimplePairList size I
MOD_REF net.minecraft.util.shape.SimplePairList valueIndices [D
REF     net.minecraft.util.shape.SimpleVoxelShape voxels Lnet/minecraft/util/shape/VoxelSet
MOD_REF net.minecraft.util.shape.VoxelSet sizeX I
MOD_REF net.minecraft.util.shape.VoxelSet sizeY I
MOD_REF net.minecraft.util.shape.VoxelSet sizeZ I
MOD_REF net.minecraft.util.shape.VoxelShape voxels Lnet/minecraft/util/shape/VoxelSet
REF     net.minecraft.world.Difficulty name Ljava/lang/String
REF     net.minecraft.world.GameMode id Ljava/lang/String
REF     net.minecraft.world.World isClient Z
